Strategy,Actual_Score,Projected_Score,Difference,Total_Salary,Remaining_Salary
Strategic_Balanced_A,140.8,124.57913451499999,16.22086548500002,33400,1600
Strategic_Upside_A,134.8,130.826256839,3.973743161000016,34600,400
Strategic_Power_B,134.8,130.826256839,3.973743161000016,34600,400
Strategic_Power_A,134.8,128.601356777,6.198643223000005,34600,400
Strategic_Upside_B,129.5,128.3693509395,1.1306490604999908,33100,1900
Strategic_Value_A,129.5,117.738881443,11.761118557000003,31000,4000
Strategic_Contrarian_A,129.5,117.738881443,11.761118557000003,31000,4000
Strategic_Value_B,129.5,115.51398138100001,13.986018618999992,31000,4000
Strategic_Balanced_B,128.8,129.851572732,-1.0515727319999826,34200,800
Strategic_Contrarian_B,89.5,132.216006078,-42.71600607799999,34400,600
