Strategy,Position,Name,Salary,FPPG
Strategic_Upside_A,C,Carson Kelly,2800,9.574683853
Strategic_Upside_A,1B,Nick Kurtz,4200,13.38999939
Strategic_Upside_A,2B,Luke Keaschall,3200,15.32307669
Strategic_Upside_A,3B,Kyle Karros,2500,11.247500418000001
Strategic_Upside_A,SS,Zach Neto,3300,13.226400264
Strategic_Upside_A,OF,Aaron Judge,4700,15.5403672
Strategic_Upside_A,OF,Daulton Varsho,3100,14.816451385499999
Strategic_Upside_A,OF,Wyatt Langford,2900,11.857777638499998
Strategic_Upside_A,P,Dustin May,7900,25.85
Strategic_Upside_B,C,Carson Kelly,2800,9.574683853
Strategic_Upside_B,1B,Nick Kurtz,4200,13.38999939
Strategic_Upside_B,2B,Luke Keaschall,3200,15.32307669
Strategic_Upside_B,3B,Kyle Karros,2500,11.247500418000001
Strategic_Upside_B,SS,Zach Neto,3300,13.226400264
Strategic_Upside_B,OF,Daulton Varsho,3100,14.816451385499999
Strategic_Upside_B,OF,Wyatt Langford,2900,11.857777638499998
Strategic_Upside_B,OF,Taylor Ward,3200,13.083461300499998
Strategic_Upside_B,P,Dustin May,7900,25.85
Strategic_Value_A,C,Moises Ballesteros,2400,8.599999746
Strategic_Value_A,1B,Tyler Locklear,2500,8.919999695
Strategic_Value_A,2B,Luke Keaschall,3200,15.32307669
Strategic_Value_A,3B,Kyle Karros,2500,11.247500418000001
Strategic_Value_A,SS,Zach Neto,3300,13.226400264
Strategic_Value_A,OF,Daulton Varsho,3100,12.88387077
Strategic_Value_A,OF,Wyatt Langford,2900,10.31111099
Strategic_Value_A,OF,Taylor Ward,3200,11.37692287
Strategic_Value_A,P,Dustin May,7900,25.85
Strategic_Value_B,C,Moises Ballesteros,2400,8.599999746
Strategic_Value_B,1B,Tyler Locklear,2500,8.919999695
Strategic_Value_B,2B,Luke Keaschall,3200,15.32307669
Strategic_Value_B,3B,Kyle Karros,2500,10.22500038
Strategic_Value_B,SS,Zach Neto,3300,12.02400024
Strategic_Value_B,OF,Daulton Varsho,3100,12.88387077
Strategic_Value_B,OF,Wyatt Langford,2900,10.31111099
Strategic_Value_B,OF,Taylor Ward,3200,11.37692287
Strategic_Value_B,P,Dustin May,7900,25.85
Strategic_Balanced_A,C,Carson Kelly,2800,9.574683853
Strategic_Balanced_A,1B,Yandy Diaz,3000,10.62212433
Strategic_Balanced_A,2B,Luke Keaschall,3200,15.32307669
Strategic_Balanced_A,3B,Kyle Karros,2500,11.247500418000001
Strategic_Balanced_A,SS,Zach Neto,3300,13.226400264
Strategic_Balanced_A,OF,Aaron Judge,4700,15.5403672
Strategic_Balanced_A,OF,Daulton Varsho,3100,12.88387077
Strategic_Balanced_A,OF,Wyatt Langford,2900,10.31111099
Strategic_Balanced_A,P,Dustin May,7900,25.85
Strategic_Balanced_B,C,Moises Ballesteros,2400,8.599999746
Strategic_Balanced_B,1B,Nick Kurtz,4200,13.38999939
