Strategy,Position,Name,Salary,FPPG
Filtered_Lineup_01,C,Salvador Perez,2800,9.154783033
Filtered_Lineup_01,1B,Vladimir Guerrero Jr.,3400,11.82051282
Filtered_Lineup_01,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_01,3B,Kyle Karros,2500,10.22500038
Filtered_Lineup_01,SS,Zach Neto,3300,12.02400024
Filtered_Lineup_01,OF1,Seiya Suzuki,3500,11.70357186
Filtered_Lineup_01,OF2,Everson Pereira,2000,12.19999981
Filtered_Lineup_01,OF3,Jurickson Profar,3100,10.99736826
Filtered_Lineup_01,P,Paul Skenes,10800,38.625
Filtered_Lineup_02,C,Salvador Perez,2800,9.154783033
Filtered_Lineup_02,1B,Cody Bellinger,3400,11.25
Filtered_Lineup_02,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_02,3B,Yoan Moncada,2700,8.647058824
Filtered_Lineup_02,SS,Zach Neto,3300,12.02400024
Filtered_Lineup_02,OF1,Christian Yelich,3400,11.56486442
Filtered_Lineup_02,OF2,Aaron Judge,4700,15.5403672
Filtered_Lineup_02,OF3,Shohei Ohtani,4800,15.65299166
Filtered_Lineup_02,P,Victor Mederos,5500,9.0
Filtered_Lineup_03,C,Ivan Herrera,3100,10.45151497
Filtered_Lineup_03,1B,Yandy Diaz,3000,10.62212433
Filtered_Lineup_03,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_03,3B,Warming Bernabel,3000,11.65999959
Filtered_Lineup_03,SS,Zach Neto,3300,12.02400024
Filtered_Lineup_03,OF1,Heliot Ramos,3000,9.734188243
Filtered_Lineup_03,OF2,Ian Happ,3100,10.24579485
Filtered_Lineup_03,OF3,Blake Perkins,3100,10.58499985
Filtered_Lineup_03,P,Spencer Strider,9700,32.53333333
Filtered_Lineup_04,C,Will Smith,3400,11.02717391
Filtered_Lineup_04,1B,Vladimir Guerrero Jr.,3400,11.82051282
Filtered_Lineup_04,2B,Brice Turang,3000,10.58849558
Filtered_Lineup_04,3B,Kyle Karros,2500,10.22500038
Filtered_Lineup_04,SS,Jeremy Pena,3200,11.26593353
Filtered_Lineup_04,OF1,Everson Pereira,2000,12.19999981
Filtered_Lineup_04,OF2,Taylor Ward,3200,11.37692287
Filtered_Lineup_04,OF3,Daulton Varsho,3100,12.88387077
Filtered_Lineup_04,P,Paul Skenes,10800,38.625
Filtered_Lineup_05,C,Shea Langeliers,3500,11.29775281
Filtered_Lineup_05,1B,Jake Cronenworth,2700,8.60000026
Filtered_Lineup_05,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_05,3B,Paul DeJong,2400,8.337499619
Filtered_Lineup_05,SS,Zach Neto,3300,12.02400024
Filtered_Lineup_05,OF1,Aaron Judge,4700,15.5403672
Filtered_Lineup_05,OF2,Daulton Varsho,3100,12.88387077
Filtered_Lineup_05,OF3,Seiya Suzuki,3500,11.70357186
Filtered_Lineup_05,P,Emmet Sheehan,7700,24.42857143
Filtered_Lineup_06,C,Ivan Herrera,3100,10.45151497
Filtered_Lineup_06,1B,Freddie Freeman,3400,10.89056627
Filtered_Lineup_06,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_06,3B,Max Muncy,3100,11.20227259
Filtered_Lineup_06,SS,Geraldo Perdomo,3400,11.70508433
Filtered_Lineup_06,OF1,Everson Pereira,2000,12.19999981
Filtered_Lineup_06,OF2,Juan Soto,4000,12.84396573
Filtered_Lineup_06,OF3,Juan Yepez,2000,8.784127372
Filtered_Lineup_06,P,Paul Skenes,10800,38.625
Filtered_Lineup_07,C,Hunter Goodman,3000,10.53846154
Filtered_Lineup_07,1B,Nick Kurtz,4200,13.38999939
Filtered_Lineup_07,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_07,3B,Warming Bernabel,3000,11.65999959
Filtered_Lineup_07,SS,Trevor Story,3200,10.5387931
Filtered_Lineup_07,OF1,Byron Buxton,3800,13.86976801
Filtered_Lineup_07,OF2,Christian Yelich,3400,11.56486442
Filtered_Lineup_07,OF3,Daulton Varsho,3100,12.88387077
Filtered_Lineup_07,P,Victor Mederos,5500,9.0
Filtered_Lineup_08,C,Ben Rice,3100,9.050505051
Filtered_Lineup_08,1B,Tyler Soderstrom,3000,10.19416707
Filtered_Lineup_08,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_08,3B,Maikel Garcia,3100,10.45338983
Filtered_Lineup_08,SS,Anthony Volpe,3000,9.554237495
Filtered_Lineup_08,OF1,Daulton Varsho,3100,12.88387077
Filtered_Lineup_08,OF2,Seiya Suzuki,3500,11.70357186
Filtered_Lineup_08,OF3,Ivan Herrera,3100,10.45151497
Filtered_Lineup_08,P,Robbie Ray,9900,35.375
Filtered_Lineup_09,C,Ben Rice,3100,9.050505051
Filtered_Lineup_09,1B,Nathaniel Lowe,2800,8.562393058
Filtered_Lineup_09,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_09,3B,Darell Hernaiz,2800,9.558333079
Filtered_Lineup_09,SS,CJ Abrams,3300,11.83365338
Filtered_Lineup_09,OF1,Everson Pereira,2000,12.19999981
Filtered_Lineup_09,OF2,Byron Buxton,3800,13.86976801
Filtered_Lineup_09,OF3,Daulton Varsho,3100,12.88387077
Filtered_Lineup_09,P,Paul Skenes,10800,38.625
Filtered_Lineup_10,C,Moises Ballesteros,2400,8.599999746
Filtered_Lineup_10,1B,Pete Alonso,3600,11.73305085
Filtered_Lineup_10,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_10,3B,Alex Bregman,3400,11.91891892
Filtered_Lineup_10,SS,CJ Abrams,3300,11.83365338
Filtered_Lineup_10,OF1,Aaron Judge,4700,15.5403672
Filtered_Lineup_10,OF2,Jesus Sanchez,2800,8.913541794
Filtered_Lineup_10,OF3,Byron Buxton,3800,13.86976801
Filtered_Lineup_10,P,Ben Brown,7500,23.42105263
Filtered_Lineup_11,C,Sean Murphy,2800,8.709876543
Filtered_Lineup_11,1B,Spencer Torkelson,3200,10.77192982
Filtered_Lineup_11,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_11,3B,Manny Machado,3500,11.38487436
Filtered_Lineup_11,SS,Willy Adames,2900,9.833051261
Filtered_Lineup_11,OF1,Everson Pereira,2000,12.19999981
Filtered_Lineup_11,OF2,Seiya Suzuki,3500,11.70357186
Filtered_Lineup_11,OF3,Daulton Varsho,3100,12.88387077
Filtered_Lineup_11,P,Paul Skenes,10800,38.625
Filtered_Lineup_12,C,Austin Wells,2800,8.703226069
Filtered_Lineup_12,1B,Nick Kurtz,4200,13.38999939
Filtered_Lineup_12,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_12,3B,Addison Barger,3000,10.27263184
Filtered_Lineup_12,SS,Trevor Story,3200,10.5387931
Filtered_Lineup_12,OF1,Byron Buxton,3800,13.86976801
Filtered_Lineup_12,OF2,Juan Soto,4000,12.84396573
Filtered_Lineup_12,OF3,Seiya Suzuki,3500,11.70357186
Filtered_Lineup_12,P,Victor Mederos,5500,9.0
Filtered_Lineup_13,C,Ben Rice,3100,9.050505051
Filtered_Lineup_13,1B,Willson Contreras,3000,10.1584073
Filtered_Lineup_13,2B,Luke Keaschall,3200,15.32307669
Filtered_Lineup_13,3B,Max Muncy,3100,11.20227259
Filtered_Lineup_13,SS,Oneil Cruz,3400,11.2532708
Filtered_Lineup_13,OF1,Marcell Ozuna,3100,9.742056303
Filtered_Lineup_13,OF2,Daulton Varsho,3100,12.88387077
Filtered_Lineup_13,OF3,Heliot Ramos,3000,9.734188243
Filtered_Lineup_13,P,Robbie Ray,9900,35.375
Filtered_Lineup_14,C,Willson Contreras,3000,10.1584073
