Strategy,Actual_Score,Projected_Score,Difference,Total_Salary,Remaining_Salary
Filtered_Lineup_20,166.7,123.047984969,43.65201503099999,34700,300
Filtered_Lineup_15,152.70000000000002,119.92185799,32.77814201000001,34800,200
Filtered_Lineup_10,149.1,121.15342921999999,27.946570780000002,34700,300
Filtered_Lineup_23,139.29999999999998,123.823666376,15.476333623999977,35000,0
Filtered_Lineup_02,133.7,108.157142067,25.542857932999993,33800,1200
Filtered_Lineup_17,129.60000000000002,108.395617441,21.204382559000024,34200,800
Filtered_Lineup_07,125.4,108.76883351000001,16.63116649,32400,2600
Filtered_Lineup_19,121.9,132.263496481,-10.363496480999999,34700,300
Filtered_Lineup_18,121.3,124.728752211,-3.4287522110000026,35000,0
Filtered_Lineup_25,120.69999999999999,119.37173679,1.3282632099999887,34700,300
Filtered_Lineup_04,114.20000000000002,130.01290967,-15.812909669999982,34600,400
Filtered_Lineup_08,108.4,124.98933373599999,-16.589333735999986,35000,0
Filtered_Lineup_05,108.19999999999999,120.138710879,-11.938710879000013,34100,900
Filtered_Lineup_21,89.8,132.409334392,-42.60933439200001,34100,900
Filtered_Lineup_09,73.6,131.90659984799998,-58.30659984799999,34900,100
Filtered_Lineup_16,68.1,129.980326627,-61.88032662700002,34900,100
Filtered_Lineup_24,64.3,133.92820908,-69.62820907999999,35000,0
Filtered_Lineup_13,57.9,124.722647747,-66.82264774699999,34900,100
Filtered_Lineup_22,57.599999999999994,107.58147571999999,-49.98147571999999,34100,900
Filtered_Lineup_06,54.400000000000006,132.025607762,-77.62560776199999,35000,0
Filtered_Lineup_12,49.599999999999994,105.645032689,-56.04503268900001,33200,1800
Filtered_Lineup_11,49.099999999999994,131.43525111399998,-82.33525111399999,35000,0
Filtered_Lineup_01,45.7,132.073313093,-86.373313093,34600,400
Filtered_Lineup_14,37.2,131.243528617,-94.043528617,34900,100
Filtered_Lineup_03,27.2,123.17903209299999,-95.97903209299999,34500,500
