Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Rostership %,Probable Pitcher,lineup_id,strategy
119385-197980,P,Paul,Paul Skenes,Skenes,38.625,24,10800,PIT@MIL,PIT,MIL,,,,,Yes,1,balanced
119385-119303,C,Shea,Shea Langeliers,Langeliers,11.29775281,89,3500,TB@ATH,ATH,TB,,,,,,1,balanced
119385-222794,1B,Nick,Nick Kurtz,Kurtz,13.38999939,80,4200,TB@ATH,ATH,TB,,,,,,1,balanced
119385-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,1,balanced
119385-68522,3B,Alex,Alex Bregman,Bregman,11.91891892,74,3400,BOS@HOU,BOS,HOU,,,,,,1,balanced
119385-185300,SS,Zach,Zach Neto,Neto,12.02400024,100,3300,LAD@LAA,LAA,LAD,,,,,,1,balanced
119385-82440,OF,Shohei,Shohei Ohtani,Ohtani,15.65299166,117,4800,LAD@LAA,LAD,LAA,,,,,,1,balanced
119385-39086,OF,Byron,Byron Buxton,Buxton,13.86976801,86,3800,MIN@NYY,MIN,NYY,,,,,,1,balanced
119385-102537,OF,Everson,Everson Pereira,Pereira,12.19999981,1,2000,TB@ATH,TB,ATH,,,,,,1,balanced
119385-53029,P,Robbie,Robbie Ray,Ray,35.375,24,9900,SD@SF,SF,SD,,,,,Yes,2,balanced
119385-119303,C,Shea,Shea Langeliers,Langeliers,11.29775281,89,3500,TB@ATH,ATH,TB,,,,,,2,balanced
119385-222794,1B,Nick,Nick Kurtz,Kurtz,13.38999939,80,4200,TB@ATH,ATH,TB,,,,,,2,balanced
119385-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,2,balanced
119385-68522,3B,Alex,Alex Bregman,Bregman,11.91891892,74,3400,BOS@HOU,BOS,HOU,,,,,,2,balanced
119385-185300,SS,Zach,Zach Neto,Neto,12.02400024,100,3300,LAD@LAA,LAA,LAD,,,,,,2,balanced
119385-82440,OF,Shohei,Shohei Ohtani,Ohtani,15.65299166,117,4800,LAD@LAA,LAD,LAA,,,,,,2,balanced
119385-39086,OF,Byron,Byron Buxton,Buxton,13.86976801,86,3800,MIN@NYY,MIN,NYY,,,,,,2,balanced
119385-102537,OF,Everson,Everson Pereira,Pereira,12.19999981,1,2000,TB@ATH,TB,ATH,,,,,,2,balanced
119385-60633,P,Carlos,Carlos Rodon,Rodon,35.25,24,10500,MIN@NYY,NYY,MIN,,,,,Yes,3,balanced
119385-119303,C,Shea,Shea Langeliers,Langeliers,11.29775281,89,3500,TB@ATH,ATH,TB,,,,,,3,balanced
119385-222794,1B,Nick,Nick Kurtz,Kurtz,13.38999939,80,4200,TB@ATH,ATH,TB,,,,,,3,balanced
119385-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,3,balanced
119385-68522,3B,Alex,Alex Bregman,Bregman,11.91891892,74,3400,BOS@HOU,BOS,HOU,,,,,,3,balanced
119385-185300,SS,Zach,Zach Neto,Neto,12.02400024,100,3300,LAD@LAA,LAA,LAD,,,,,,3,balanced
119385-82440,OF,Shohei,Shohei Ohtani,Ohtani,15.65299166,117,4800,LAD@LAA,LAD,LAA,,,,,,3,balanced
119385-39086,OF,Byron,Byron Buxton,Buxton,13.86976801,86,3800,MIN@NYY,MIN,NYY,,,,,,3,balanced
119385-102537,OF,Everson,Everson Pereira,Pereira,12.19999981,1,2000,TB@ATH,TB,ATH,,,,,,3,balanced
119385-197980,P,Paul,Paul Skenes,Skenes,38.625,24,10800,PIT@MIL,PIT,MIL,,,,,Yes,4,ceiling
119385-119303,C,Shea,Shea Langeliers,Langeliers,11.29775281,89,3500,TB@ATH,ATH,TB,,,,,,4,ceiling
119385-222794,1B,Nick,Nick Kurtz,Kurtz,13.38999939,80,4200,TB@ATH,ATH,TB,,,,,,4,ceiling
119385-163668,OF/2B/3B,Richie,Richie Palacios,Palacios,21.20000076,1,2300,TB@ATH,TB,ATH,IL,Knee,,,,4,ceiling
119385-68522,3B,Alex,Alex Bregman,Bregman,11.91891892,74,3400,BOS@HOU,BOS,HOU,,,,,,4,ceiling
119385-119349,SS,Bobby,Bobby Witt Jr.,Witt Jr.,12.24321993,118,4100,WSH@KC,KC,WSH,,,,,,4,ceiling
