player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,confidence,optimal_entry_size,kelly_bet_pct,kelly_bet_amount,odds
Josh Smith,hits,prizepicks,2.5,0.06814100855805141,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,hits,prizepicks,2.5,0.06814100855805141,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,hits,prizepicks,2.5,0.06814100855805141,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Jung,hits,prizepicks,2.5,0.06814100855805141,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Corey Seager,hits,prizepicks,2.5,0.06814100855805141,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,hits,prizepicks,2.5,0.06814100855805141,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,hits,prizepicks,2.5,0.06814100855805141,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,total_bases,prizepicks,4.5,0.08663988394761005,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,total_bases,prizepicks,4.5,0.08663988394761005,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Corey Seager,total_bases,prizepicks,4.5,0.08663988394761005,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Austin Hays,total_bases,prizepicks,4.5,0.08663988394761005,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,total_bases,prizepicks,4.5,0.08663988394761005,0.01,0.5850622406639004,UNDER,1.3859000000000001,1.3859000000000001,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Tyler Stephenson,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Tyler Stephenson,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Tyler Stephenson,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt Olson,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt McLain,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Jung,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Jung,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Jung,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Elly De La Cruz,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt McLain,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Wyatt Langford,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Marcell Ozuna,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Adolis Garcia,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Jurickson Profar,total_bases,prizepicks,3.5,0.08663988394761005,0.01143577713132471,0.5850622406639004,UNDER,1.3824397771135075,1.3824397771135075,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Elly De La Cruz,hitter_strikeouts,prizepicks,2.5,0.027958781989683573,0.04532108029790871,0.5850622406639004,UNDER,1.3007761964820401,1.3007761964820401,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt Olson,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt Olson,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt McLain,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt McLain,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Marcus Semien,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Noelvi Marte,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Jung,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Elly De La Cruz,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt McLain,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt McLain,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
TJ Friedl,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,total_bases,prizepicks,2.5,0.08663988394761005,0.053818367307380766,0.5850622406639004,UNDER,1.2802977347892126,1.2802977347892126,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Tyler Stephenson,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Tyler Stephenson,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Drake Baldwin,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt Olson,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt Olson,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt Olson,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt Olson,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Spencer Steer,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Josh Smith,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
Matt McLain,rbi,prizepicks,1.5,0.045911672074709614,0.07296090959215029,0.5850622406639004,UNDER,1.2341642078829178,1.2341642078829178,VERY_HIGH,3,0.25,250.0,3-pick entry (~58.5% per leg)
