rank,combo_description,size,avg_edge_pct,win_probability_pct,total_ev,kelly_bet_pct,diversity_pct,players
1,"3-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER",3,138.6%,97.0%,4.16,15.0%,33.3%,"Hunter Brown, Robbie Ray, Kris Bubic"
2,"3-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER",3,138.6%,97.0%,4.16,15.0%,33.3%,"Hunter Brown, Robbie Ray, Kris Bubic"
3,"3-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER",3,138.6%,97.0%,4.16,15.0%,33.3%,"Hunter Brown, Robbie Ray, Kris Bubic"
4,"3-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER",3,138.6%,97.0%,4.16,15.0%,33.3%,"Hunter Brown, Robbie Ray, Kris Bubic"
5,"3-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER",3,138.6%,97.0%,4.16,15.0%,33.3%,"Hunter Brown, Robbie Ray, Kris Bubic"
6,"4-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Andrew Abbott UNDER",4,138.6%,96.1%,5.54,15.0%,25.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Andrew Abbott"
7,"4-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Andrew Abbott UNDER",4,138.6%,96.1%,5.54,15.0%,25.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Andrew Abbott"
8,"4-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Hunter Greene UNDER",4,138.6%,96.1%,5.54,15.0%,25.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Hunter Greene"
9,"4-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Hunter Greene UNDER",4,138.6%,96.1%,5.54,15.0%,25.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Hunter Greene"
10,"4-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Hunter Greene UNDER",4,138.6%,96.1%,5.54,15.0%,25.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Hunter Greene"
11,"5-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Andrew Abbott UNDER, Hunter Greene UNDER",5,138.6%,95.1%,6.93,15.0%,20.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Andrew Abbott, Hunter Greene"
12,"5-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Andrew Abbott UNDER, Hunter Greene UNDER",5,138.6%,95.1%,6.93,15.0%,20.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Andrew Abbott, Hunter Greene"
13,"5-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Andrew Abbott UNDER, Hunter Greene UNDER",5,138.6%,95.1%,6.93,15.0%,20.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Andrew Abbott, Hunter Greene"
14,"5-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Andrew Abbott UNDER, Hunter Greene UNDER",5,138.6%,95.1%,6.93,15.0%,20.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Andrew Abbott, Hunter Greene"
15,"5-pick: Hunter Brown UNDER, Robbie Ray UNDER, Kris Bubic UNDER, Andrew Abbott UNDER, Hunter Greene UNDER",5,138.6%,95.1%,6.93,15.0%,20.0%,"Hunter Brown, Robbie Ray, Kris Bubic, Andrew Abbott, Hunter Greene"
