rank,combo_size,detailed_combo,pick_1_player,pick_1_stat,pick_1_line,pick_1_bet,pick_1_prediction,pick_1_source,pick_2_player,pick_2_stat,pick_2_line,pick_2_bet,pick_2_prediction,pick_2_source,pick_3_player,pick_3_stat,pick_3_line,pick_3_bet,pick_3_prediction,pick_3_source,pick_4_player,pick_4_stat,pick_4_line,pick_4_bet,pick_4_prediction,pick_4_source,pick_5_player,pick_5_stat,pick_5_line,pick_5_bet,pick_5_prediction,pick_5_source,avg_edge_pct,win_probability_pct,total_ev,kelly_bet_pct,diversity_pct,all_picks_summary
1,3,3-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Jacob deGrom pitcher_strikeouts UNDER 7.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Jacob deGrom,pitcher_strikeouts,7.5,UNDER,3.0,prizepicks,,,,,,,,,,,,,138.6%,97.0%,4.16,15.0%,33.3%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Jacob deGrom pitcher_strikeouts UNDER 7.5 (pred: 3.0, edge: 138.6%, prizepicks)"
2,3,3-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Jacob deGrom pitcher_strikeouts UNDER 7.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Jacob deGrom,pitcher_strikeouts,7.5,UNDER,3.6,prizepicks,,,,,,,,,,,,,138.6%,97.0%,4.16,15.0%,33.3%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Jacob deGrom pitcher_strikeouts UNDER 7.5 (pred: 3.6, edge: 138.6%, prizepicks)"
3,3,3-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Tyler Glasnow pitcher_strikeouts UNDER 6.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Tyler Glasnow,pitcher_strikeouts,6.5,UNDER,2.4,prizepicks,,,,,,,,,,,,,138.6%,97.0%,4.16,15.0%,33.3%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Tyler Glasnow pitcher_strikeouts UNDER 6.5 (pred: 2.4, edge: 138.6%, prizepicks)"
4,3,3-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Kris Bubic pitcher_strikeouts UNDER 6.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Kris Bubic,pitcher_strikeouts,6.5,UNDER,1.1,prizepicks,,,,,,,,,,,,,138.6%,97.0%,4.16,15.0%,33.3%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Kris Bubic pitcher_strikeouts UNDER 6.5 (pred: 1.1, edge: 138.6%, prizepicks)"
5,3,3-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Kris Bubic pitcher_strikeouts UNDER 6.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Kris Bubic,pitcher_strikeouts,6.5,UNDER,1.1,prizepicks,,,,,,,,,,,,,138.6%,97.0%,4.16,15.0%,33.3%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Kris Bubic pitcher_strikeouts UNDER 6.5 (pred: 1.1, edge: 138.6%, prizepicks)"
6,4,4-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Jacob deGrom pitcher_strikeouts UNDER 7.5 | Tyler Glasnow pitcher_strikeouts UNDER 6.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Jacob deGrom,pitcher_strikeouts,7.5,UNDER,3.0,prizepicks,Tyler Glasnow,pitcher_strikeouts,6.5,UNDER,2.4,prizepicks,,,,,,,138.6%,96.1%,5.54,15.0%,25.0%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Jacob deGrom pitcher_strikeouts UNDER 7.5 (pred: 3.0, edge: 138.6%, prizepicks) | Pick 4: Tyler Glasnow pitcher_strikeouts UNDER 6.5 (pred: 2.4, edge: 138.6%, prizepicks)"
7,4,4-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Jacob deGrom pitcher_strikeouts UNDER 7.5 | Kris Bubic pitcher_strikeouts UNDER 6.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Jacob deGrom,pitcher_strikeouts,7.5,UNDER,3.0,prizepicks,Kris Bubic,pitcher_strikeouts,6.5,UNDER,1.1,prizepicks,,,,,,,138.6%,96.1%,5.54,15.0%,25.0%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Jacob deGrom pitcher_strikeouts UNDER 7.5 (pred: 3.0, edge: 138.6%, prizepicks) | Pick 4: Kris Bubic pitcher_strikeouts UNDER 6.5 (pred: 1.1, edge: 138.6%, prizepicks)"
8,4,4-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Jacob deGrom pitcher_strikeouts UNDER 7.5 | Kris Bubic pitcher_strikeouts UNDER 6.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Jacob deGrom,pitcher_strikeouts,7.5,UNDER,3.0,prizepicks,Kris Bubic,pitcher_strikeouts,6.5,UNDER,1.1,prizepicks,,,,,,,138.6%,96.1%,5.54,15.0%,25.0%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Jacob deGrom pitcher_strikeouts UNDER 7.5 (pred: 3.0, edge: 138.6%, prizepicks) | Pick 4: Kris Bubic pitcher_strikeouts UNDER 6.5 (pred: 1.1, edge: 138.6%, prizepicks)"
9,4,4-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Jacob deGrom pitcher_strikeouts UNDER 7.5 | Kris Bubic pitcher_strikeouts UNDER 6.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Jacob deGrom,pitcher_strikeouts,7.5,UNDER,3.0,prizepicks,Kris Bubic,pitcher_strikeouts,6.5,UNDER,1.6,prizepicks,,,,,,,138.6%,96.1%,5.54,15.0%,25.0%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Jacob deGrom pitcher_strikeouts UNDER 7.5 (pred: 3.0, edge: 138.6%, prizepicks) | Pick 4: Kris Bubic pitcher_strikeouts UNDER 6.5 (pred: 1.6, edge: 138.6%, prizepicks)"
10,4,4-pick: Hunter Brown pitcher_strikeouts UNDER 8.5 | Robbie Ray pitcher_strikeouts UNDER 7.5 | Jacob deGrom pitcher_strikeouts UNDER 7.5 | Kris Bubic pitcher_strikeouts UNDER 6.5,Hunter Brown,pitcher_strikeouts,8.5,UNDER,4.1,prizepicks,Robbie Ray,pitcher_strikeouts,7.5,UNDER,3.9,prizepicks,Jacob deGrom,pitcher_strikeouts,7.5,UNDER,3.0,prizepicks,Kris Bubic,pitcher_strikeouts,6.5,UNDER,1.1,prizepicks,,,,,,,138.6%,96.1%,5.54,15.0%,25.0%,"Pick 1: Hunter Brown pitcher_strikeouts UNDER 8.5 (pred: 4.1, edge: 138.6%, prizepicks) | Pick 2: Robbie Ray pitcher_strikeouts UNDER 7.5 (pred: 3.9, edge: 138.6%, prizepicks) | Pick 3: Jacob deGrom pitcher_strikeouts UNDER 7.5 (pred: 3.0, edge: 138.6%, prizepicks) | Pick 4: Kris Bubic pitcher_strikeouts UNDER 6.5 (pred: 1.1, edge: 138.6%, prizepicks)"
