player,category,source,line,prediction,model_prob_over,implied_prob,recommended_bet,expected_value,edge,ensemble_confidence,ensemble_strength,prediction_quality,ensemble_adjusted_edge,kelly_full,kelly_quarter,confidence_level,odds
Cal Conley,total_bases,prizepicks,5.5,1.8951956548513518,0.01,0.5238095238095238,UNDER,1.079,1.079,0.5,0.7,0.968151891435828,0.7312451236014809,0.9807321594068581,0.12259151992585726,ELITE,-110
Jonathan Ornelas,total_bases,prizepicks,5.5,1.9160698957679754,0.01,0.5238095238095238,UNDER,1.079,1.079,0.5,0.7,0.9637866115798006,0.7279480277262234,0.9807321594068581,0.12259151992585726,ELITE,-110
Wyatt Langford,total_bases,prizepicks,4.5,1.7504557380363763,0.033399091489492716,0.5238095238095238,UNDER,1.0298619078720654,1.0298619078720654,0.5,0.7,0.9998958448686898,0.7208282497288736,0.9341702581153459,0.11677128226441824,ELITE,-110
Aaron Judge,total_bases,prizepicks,5.5,1.962798569922566,0.01,0.5238095238095238,UNDER,1.079,1.079,0.5,0.7,0.9542012889171437,0.7207082335191186,0.9807321594068581,0.12259151992585726,ELITE,-110
Alex Jackson,total_bases,prizepicks,4.5,1.697005722166968,0.030834867694901957,0.5238095238095238,UNDER,1.035246777840706,1.035246777840706,0.5,0.7,0.9880685901092903,0.7160263769373764,0.9393800913323392,0.1174225114165424,ELITE,-110
Cal Raleigh,total_bases,prizepicks,5.5,1.4988524044035962,0.01,0.5238095238095238,UNDER,1.079,1.079,0.5,0.7,0.9465238458100331,0.714909460740318,0.9807321594068581,0.12259151992585726,ELITE,-110
Byron Buxton,total_bases,prizepicks,4.5,1.6737444866743971,0.029770968911837614,0.5238095238095238,UNDER,1.037480965285141,1.037480965285141,0.5,0.7,0.982944460939889,0.713850317710319,0.9415335948266832,0.1176916993533354,ELITE,-110
Cam Smith,total_bases,prizepicks,4.5,1.6645499714237615,0.0293589231266026,0.5238095238095238,UNDER,1.0383462614341346,1.0383462614341346,0.5,0.7,0.9809377436760983,0.7129871271919984,0.9423663825666515,0.11779579782083144,ELITE,-110
Adolis Garcia,total_bases,prizepicks,4.5,1.7882339230936328,0.03531538776508114,0.5238095238095238,UNDER,1.0258376856933298,1.0258376856933298,0.5,0.7,0.9913555927459631,0.7118789488731605,0.9302587101086847,0.11628233876358558,ELITE,-110
Mike Boeve,total_bases,prizepicks,4.5,1.6077795424348436,0.02691842393303856,0.5238095238095238,UNDER,1.0434713097406192,1.0434713097406192,0.5,0.7,0.9687783235065457,0.7076246702543875,0.9472845812844889,0.11841057266056111,ELITE,-110
Aaron Schunk,rbi,prizepicks,2.5,0.5348229386276098,0.02469687396068987,0.5238095238095238,UNDER,1.0481365646825513,1.0481365646825513,0.5,0.7,0.958825468995306,0.7034860232420133,0.9517404770555207,0.11896755963194008,ELITE,-110
Max Muncy,total_bases,prizepicks,4.5,1.8254095537690327,0.037288244216645894,0.5238095238095238,UNDER,1.0216946871450436,1.0216946871450436,0.5,0.7,0.9831296231341299,0.7031208189117346,0.9262152909531007,0.11577691136913759,ELITE,-110
Jonathan Aranda,total_bases,prizepicks,5.5,1.4050470695245891,0.01,0.5238095238095238,UNDER,1.079,1.079,0.5,0.7,0.9284381653378819,0.7012493462797021,0.9807321594068581,0.12259151992585726,ELITE,-110
Shohei Ohtani,total_bases,prizepicks,6.5,1.3881937471828898,0.01,0.5238095238095238,UNDER,1.079,1.079,0.5,0.7,0.9252903333490926,0.6988717887785696,0.9807321594068581,0.12259151992585726,ELITE,-110
Will Brennan,total_bases,prizepicks,4.5,1.8593972247462311,0.03916984793761524,0.5238095238095238,UNDER,1.0177433193310081,1.0177433193310081,0.5,0.7,0.975760452991824,0.695151577609879,0.9223431905725636,0.11529289882157046,ELITE,-110
Aaron Judge,rbi,prizepicks,2.5,0.662562478666656,0.0330726659916305,0.5238095238095238,UNDER,1.030547401417576,1.030547401417576,0.5,0.7,0.9603925122617969,0.6928110054966046,0.934835005265279,0.11685437565815987,ELITE,-110
Aaron Schunk,total_bases,prizepicks,5.5,2.1388225120895035,0.01252000278123011,0.5238095238095238,UNDER,1.0737079941594168,1.0737079941594168,0.5,0.7,0.9203071100567696,0.6916987708047925,0.9758194686119845,0.12197743357649807,ELITE,-110
Aaron Zavala,rbi,prizepicks,2.5,0.4944378792471766,0.022451493360546415,0.5238095238095238,UNDER,1.0528518639428526,1.0528518639428526,0.5,0.7,0.9354683714819179,0.6894367330020255,0.9562240505317662,0.11952800631647077,ELITE,-110
Mike Yastrzemski,total_bases,prizepicks,4.5,1.3467721652066011,0.017769986314894015,0.5238095238095238,UNDER,1.0626830287387228,1.0626830287387228,0.5,0.7,0.917681288096136,0.6826430314555979,0.9655082012214359,0.12068852515267948,ELITE,-110
Rafael Ortega,total_bases,prizepicks,4.5,1.345177748788701,0.01772349707315357,0.5238095238095238,UNDER,1.0627806561463777,1.0627806561463777,0.5,0.7,0.9173919820451536,0.682490516834962,0.9655999695606686,0.12069999619508358,ELITE,-110
Corey Seager,total_bases,prizepicks,4.5,1.2571993380902502,0.015314210482155866,0.5238095238095238,UNDER,1.0678401579874728,1.0678401579874728,0.5,0.7,0.9018300675802788,0.6741072532899447,0.9703444947392151,0.12129306184240189,ELITE,-110
Mike Ford,total_bases,prizepicks,4.5,1.9543369568929043,0.04483805628829263,0.5238095238095238,UNDER,1.0058400817945856,1.0058400817945856,0.5,0.7,0.9559180727848429,0.6730504987631803,0.9105842249472151,0.11382302811840189,ELITE,-110
Max Schuemann,total_bases,prizepicks,4.5,1.2197194016175203,0.014376601731407423,0.5238095238095238,UNDER,1.0698091363640443,1.0698091363640443,0.5,0.7,0.895434472893319,0.6705607860816163,0.9721849247664225,0.12152311559580281,ELITE,-110
Nathan Lukes,total_bases,prizepicks,5.5,1.1592471823309698,0.01,0.5238095238095238,UNDER,1.079,1.079,0.5,0.7,0.8853999438895745,0.6687425776197956,0.9807321594068581,0.12259151992585726,ELITE,-110
